State,District,Level,Name,TRU
0,0,India,India,Total
0,0,India,India,Rural
0,0,India,India,Urban
1,0,State,JAMMU & KASHMIR,Total
1,0,State,JAMMU & KASHMIR,Rural
1,0,State,JAMMU & KASHMIR,Urban
1,1,DISTRICT,Kupwara,Total
1,1,DISTRICT,Kupwara,Rural
1,1,DISTRICT,Kupwara,Urban
1,2,DISTRICT,Badgam,Total
1,2,DISTRICT,Badgam,Rural
1,2,DISTRICT,Badgam,Urban
1,3,DISTRICT,Leh(Ladakh),Total
1,3,DISTRICT,Leh(Ladakh),Rural
1,3,DISTRICT,Leh(Ladakh),Urban
1,4,DISTRICT,Kargil,Total
1,4,DISTRICT,Kargil,Rural
1,4,DISTRICT,Kargil,Urban
1,5,DISTRICT,Punch,Total
1,5,DISTRICT,Punch,Rural
1,5,DISTRICT,Punch,Urban
1,6,DISTRICT,Rajouri,Total
1,6,DISTRICT,Rajouri,Rural
1,6,DISTRICT,Rajouri,Urban
1,7,DISTRICT,Kathua,Total
1,7,DISTRICT,Kathua,Rural
1,7,DISTRICT,Kathua,Urban
1,8,DISTRICT,Baramula,Total
1,8,DISTRICT,Baramula,Rural
1,8,DISTRICT,Baramula,Urban
1,9,DISTRICT,Bandipore,Total
1,9,DISTRICT,Bandipore,Rural
1,9,DISTRICT,Bandipore,Urban
1,10,DISTRICT,Srinagar,Total
1,10,DISTRICT,Srinagar,Rural
1,10,DISTRICT,Srinagar,Urban
1,11,DISTRICT,Ganderbal,Total
1,11,DISTRICT,Ganderbal,Rural
1,11,DISTRICT,Ganderbal,Urban
1,12,DISTRICT,Pulwama,Total
1,12,DISTRICT,Pulwama,Rural
1,12,DISTRICT,Pulwama,Urban
1,13,DISTRICT,Shupiyan,Total
1,13,DISTRICT,Shupiyan,Rural
1,13,DISTRICT,Shupiyan,Urban
1,14,DISTRICT,Anantnag,Total
1,14,DISTRICT,Anantnag,Rural
1,14,DISTRICT,Anantnag,Urban
1,15,DISTRICT,Kulgam,Total
1,15,DISTRICT,Kulgam,Rural
1,15,DISTRICT,Kulgam,Urban
1,16,DISTRICT,Doda,Total
1,16,DISTRICT,Doda,Rural
1,16,DISTRICT,Doda,Urban
1,17,DISTRICT,Ramban,Total
1,17,DISTRICT,Ramban,Rural
1,17,DISTRICT,Ramban,Urban
1,18,DISTRICT,Kishtwar,Total
1,18,DISTRICT,Kishtwar,Rural
1,18,DISTRICT,Kishtwar,Urban
1,19,DISTRICT,Udhampur,Total
1,19,DISTRICT,Udhampur,Rural
1,19,DISTRICT,Udhampur,Urban
1,20,DISTRICT,Reasi,Total
1,20,DISTRICT,Reasi,Rural
1,20,DISTRICT,Reasi,Urban
1,21,DISTRICT,Jammu,Total
1,21,DISTRICT,Jammu,Rural
1,21,DISTRICT,Jammu,Urban
1,22,DISTRICT,Samba,Total
1,22,DISTRICT,Samba,Rural
1,22,DISTRICT,Samba,Urban
2,0,State,HIMACHAL PRADESH,Total
2,0,State,HIMACHAL PRADESH,Rural
2,0,State,HIMACHAL PRADESH,Urban
2,23,DISTRICT,Chamba,Total
2,23,DISTRICT,Chamba,Rural
2,23,DISTRICT,Chamba,Urban
2,24,DISTRICT,Kangra,Total
2,24,DISTRICT,Kangra,Rural
2,24,DISTRICT,Kangra,Urban
2,25,DISTRICT,Lahul & Spiti,Total
2,25,DISTRICT,Lahul & Spiti,Rural
2,25,DISTRICT,Lahul & Spiti,Urban
2,26,DISTRICT,Kullu,Total
2,26,DISTRICT,Kullu,Rural
2,26,DISTRICT,Kullu,Urban
2,27,DISTRICT,Mandi,Total
2,27,DISTRICT,Mandi,Rural
2,27,DISTRICT,Mandi,Urban
2,28,DISTRICT,Hamirpur,Total
2,28,DISTRICT,Hamirpur,Rural
2,28,DISTRICT,Hamirpur,Urban
2,29,DISTRICT,Una,Total
2,29,DISTRICT,Una,Rural
2,29,DISTRICT,Una,Urban
2,30,DISTRICT,Bilaspur,Total
2,30,DISTRICT,Bilaspur,Rural
2,30,DISTRICT,Bilaspur,Urban
2,31,DISTRICT,Solan,Total
2,31,DISTRICT,Solan,Rural
2,31,DISTRICT,Solan,Urban
2,32,DISTRICT,Sirmaur,Total
2,32,DISTRICT,Sirmaur,Rural
2,32,DISTRICT,Sirmaur,Urban
2,33,DISTRICT,Shimla,Total
2,33,DISTRICT,Shimla,Rural
2,33,DISTRICT,Shimla,Urban
2,34,DISTRICT,Kinnaur,Total
2,34,DISTRICT,Kinnaur,Rural
2,34,DISTRICT,Kinnaur,Urban
5,0,State,UTTARAKHAND,Total
5,0,State,UTTARAKHAND,Rural
5,0,State,UTTARAKHAND,Urban
5,56,DISTRICT,Uttarkashi,Total
5,56,DISTRICT,Uttarkashi,Rural
5,56,DISTRICT,Uttarkashi,Urban
5,57,DISTRICT,Chamoli,Total
5,57,DISTRICT,Chamoli,Rural
5,57,DISTRICT,Chamoli,Urban
5,58,DISTRICT,Rudraprayag,Total
5,58,DISTRICT,Rudraprayag,Rural
5,58,DISTRICT,Rudraprayag,Urban
5,59,DISTRICT,Tehri Garhwal,Total
5,59,DISTRICT,Tehri Garhwal,Rural
5,59,DISTRICT,Tehri Garhwal,Urban
5,60,DISTRICT,Dehradun,Total
5,60,DISTRICT,Dehradun,Rural
5,60,DISTRICT,Dehradun,Urban
5,61,DISTRICT,Garhwal,Total
5,61,DISTRICT,Garhwal,Rural
5,61,DISTRICT,Garhwal,Urban
5,62,DISTRICT,Pithoragarh,Total
5,62,DISTRICT,Pithoragarh,Rural
5,62,DISTRICT,Pithoragarh,Urban
5,63,DISTRICT,Bageshwar,Total
5,63,DISTRICT,Bageshwar,Rural
5,63,DISTRICT,Bageshwar,Urban
5,64,DISTRICT,Almora,Total
5,64,DISTRICT,Almora,Rural
5,64,DISTRICT,Almora,Urban
5,65,DISTRICT,Champawat,Total
5,65,DISTRICT,Champawat,Rural
5,65,DISTRICT,Champawat,Urban
5,66,DISTRICT,Nainital,Total
5,66,DISTRICT,Nainital,Rural
5,66,DISTRICT,Nainital,Urban
5,67,DISTRICT,Udham Singh Nagar,Total
5,67,DISTRICT,Udham Singh Nagar,Rural
5,67,DISTRICT,Udham Singh Nagar,Urban
5,68,DISTRICT,Hardwar,Total
5,68,DISTRICT,Hardwar,Rural
5,68,DISTRICT,Hardwar,Urban
8,0,State,RAJASTHAN,Total
8,0,State,RAJASTHAN,Rural
8,0,State,RAJASTHAN,Urban
8,99,DISTRICT,Ganganagar ,Total
8,99,DISTRICT,Ganganagar ,Rural
8,99,DISTRICT,Ganganagar ,Urban
8,100,DISTRICT,Hanumangarh,Total
8,100,DISTRICT,Hanumangarh,Rural
8,100,DISTRICT,Hanumangarh,Urban
8,101,DISTRICT,Bikaner,Total
8,101,DISTRICT,Bikaner,Rural
8,101,DISTRICT,Bikaner,Urban
8,102,DISTRICT,Churu,Total
8,102,DISTRICT,Churu,Rural
8,102,DISTRICT,Churu,Urban
8,103,DISTRICT,Jhunjhunun,Total
8,103,DISTRICT,Jhunjhunun,Rural
8,103,DISTRICT,Jhunjhunun,Urban
8,104,DISTRICT,Alwar,Total
8,104,DISTRICT,Alwar,Rural
8,104,DISTRICT,Alwar,Urban
8,105,DISTRICT,Bharatpur,Total
8,105,DISTRICT,Bharatpur,Rural
8,105,DISTRICT,Bharatpur,Urban
8,106,DISTRICT,Dhaulpur,Total
8,106,DISTRICT,Dhaulpur,Rural
8,106,DISTRICT,Dhaulpur,Urban
8,107,DISTRICT,Karauli,Total
8,107,DISTRICT,Karauli,Rural
8,107,DISTRICT,Karauli,Urban
8,108,DISTRICT,Sawai Madhopur,Total
8,108,DISTRICT,Sawai Madhopur,Rural
8,108,DISTRICT,Sawai Madhopur,Urban
8,109,DISTRICT,Dausa,Total
8,109,DISTRICT,Dausa,Rural
8,109,DISTRICT,Dausa,Urban
8,110,DISTRICT,Jaipur,Total
8,110,DISTRICT,Jaipur,Rural
8,110,DISTRICT,Jaipur,Urban
8,111,DISTRICT,Sikar,Total
8,111,DISTRICT,Sikar,Rural
8,111,DISTRICT,Sikar,Urban
8,112,DISTRICT,Nagaur,Total
8,112,DISTRICT,Nagaur,Rural
8,112,DISTRICT,Nagaur,Urban
