,Unnamed: 0,Unnamed: 0.1,Data,Target
0,0,0,gilpin tours travel mgt i pvt ltd,
1,1,1,tours travel mgt i pvt ltd ground,
2,2,2,travel mgt i pvt ltd ground floor,
3,3,3,mgt i pvt ltd ground floor windfall,
4,4,4,i pvt ltd ground floor windfall sahar,
5,5,5,pvt ltd ground floor windfall sahar plaza,
6,6,6,ltd ground floor windfall sahar plaza complex,
7,7,7,ground floor windfall sahar plaza complex mv,
8,8,8,floor windfall sahar plaza complex mv road,
9,9,9,windfall sahar plaza complex mv road jbnagar,
10,10,10,sahar plaza complex mv road jbnagar andheri,
11,11,11,plaza complex mv road jbnagar andheri east,
12,12,12,complex mv road jbnagar andheri east mumbai,
13,13,13,mv road jbnagar andheri east mumbai url,
14,14,14,road jbnagar andheri east mumbai url www,
15,15,15,jbnagar andheri east mumbai url www gilpinin,
16,16,16,andheri east mumbai url www gilpinin can,
17,17,17,east mumbai url www gilpinin can cin,
18,18,18,mumbai url www gilpinin can cin gst_no,
19,19,19,url www gilpinin can cin gst_no pan_no,
20,20,20,www gilpinin can cin gst_no pan_no tax,
21,21,21,gilpinin can cin gst_no pan_no tax invoice,
22,22,22,can cin gst_no pan_no tax invoice original,
23,23,23,cin gst_no pan_no tax invoice original for,
24,24,24,gst_no pan_no tax invoice original for recipient,
25,25,25,pan_no tax invoice original for recipient to,
26,26,26,tax invoice original for recipient to ms,
27,27,27,invoice original for recipient to ms indofil,
28,28,28,original for recipient to ms indofil industries,
29,29,29,for recipient to ms indofil industries limited,
30,30,30,recipient to ms indofil industries limited maharshtra,
31,31,31,to ms indofil industries limited maharshtra date,
32,32,32,ms indofil industries limited maharshtra date dec,
33,33,33,indofil industries limited maharshtra date dec kalpataru,
34,34,34,industries limited maharshtra date dec kalpataru square,
35,35,35,limited maharshtra date dec kalpataru square floor,
36,36,36,maharshtra date dec kalpataru square floor invoice,
37,37,37,date dec kalpataru square floor invoice no,
38,38,38,dec kalpataru square floor invoice no off,
39,39,39,kalpataru square floor invoice no off andheri,
40,40,40,square floor invoice no off andheri kurla,
41,41,41,floor invoice no off andheri kurla road,
42,42,42,invoice no off andheri kurla road andheri,
43,43,43,no off andheri kurla road andheri e,
44,44,44,off andheri kurla road andheri e mobile,
45,45,45,andheri kurla road andheri e mobile mumbai,
46,46,46,kurla road andheri e mobile mumbai narration,
47,47,47,road andheri e mobile mumbai narration reference,
48,48,48,andheri e mobile mumbai narration reference manish,
49,49,49,e mobile mumbai narration reference manish emp,
50,50,50,mobile mumbai narration reference manish emp code,
51,51,51,mumbai narration reference manish emp code handled,
52,52,52,narration reference manish emp code handled by,
53,53,53,reference manish emp code handled by zulfikar,
54,54,54,manish emp code handled by zulfikar dabir,
55,55,55,emp code handled by zulfikar dabir airline,
56,56,56,code handled by zulfikar dabir airline indigo,
57,57,57,handled by zulfikar dabir airline indigo airlines,
58,58,58,by zulfikar dabir airline indigo airlines gstin,
59,59,59,zulfikar dabir airline indigo airlines gstin gst_no,
60,60,60,dabir airline indigo airlines gstin gst_no maharashtra,
61,61,61,airline indigo airlines gstin gst_no maharashtra project,
62,62,62,indigo airlines gstin gst_no maharashtra project code,
63,63,63,airlines gstin gst_no maharashtra project code indolife,
64,64,64,gstin gst_no maharashtra project code indolife shim,
65,65,65,gst_no maharashtra project code indolife shim place,
66,66,66,maharashtra project code indolife shim place of,
67,67,67,project code indolife shim place of supply,
68,68,68,code indolife shim place of supply web,
69,69,69,indolife shim place of supply web ref,
70,70,70,shim place of supply web ref bomoocozjeb,
71,71,71,place of supply web ref bomoocozjeb page,
72,72,72,of supply web ref bomoocozjeb page no,
73,73,73,supply web ref bomoocozjeb page no of,
74,74,74,web ref bomoocozjeb page no of ticket,
75,75,75,ref bomoocozjeb page no of ticket no,
76,76,76,bomoocozjeb page no of ticket no passenger,
77,77,77,page no of ticket no passenger name,
78,78,78,no of ticket no passenger name sac,
79,79,79,of ticket no passenger name sac sector,
80,80,80,ticket no passenger name sac sector flight,
81,81,81,no passenger name sac sector flight details,
82,82,82,passenger name sac sector flight details basic,
83,83,83,name sac sector flight details basic fare,
84,84,84,sac sector flight details basic fare taxesc,
85,85,85,sector flight details basic fare taxesc tot,
86,86,86,flight details basic fare taxesc tot amount,
87,87,87,details basic fare taxesc tot amount hrgs,
88,88,88,basic fare taxesc tot amount hrgs gautam,
89,89,89,fare taxesc tot amount hrgs gautam ajay,
90,90,90,taxesc tot amount hrgs gautam ajay mr,
91,91,91,tot amount hrgs gautam ajay mr ixcisxr,
92,92,92,amount hrgs gautam ajay mr ixcisxr l,
93,93,93,hrgs gautam ajay mr ixcisxr l gautam,
94,94,94,gautam ajay mr ixcisxr l gautam ajay,
95,95,95,ajay mr ixcisxr l gautam ajay mr,
96,96,96,mr ixcisxr l gautam ajay mr sxriixc,
97,97,97,ixcisxr l gautam ajay mr sxriixc u,
98,98,98,l gautam ajay mr sxriixc u add,
99,99,99,gautam ajay mr sxriixc u add gst,
100,100,100,ajay mr sxriixc u add gst collected,
101,101,101,mr sxriixc u add gst collected by,
102,102,102,sxriixc u add gst collected by airline,
103,103,103,u add gst collected by airline sub,
104,104,104,add gst collected by airline sub total,
105,105,105,gst collected by airline sub total add,
106,106,106,collected by airline sub total add processing,
107,107,107,by airline sub total add processing chargesd,
108,108,108,airline sub total add processing chargesd add,
109,109,109,sub total add processing chargesd add cgst,
110,110,110,total add processing chargesd add cgst client,
111,111,111,add processing chargesd add cgst client on,
112,112,112,processing chargesd add cgst client on add,
113,113,113,chargesd add cgst client on add sgst,
114,114,114,add cgst client on add sgst client,
115,115,115,cgst client on add sgst client on,
116,116,116,client on add sgst client on inr,
117,117,117,on add sgst client on inr eleven,
118,118,118,add sgst client on inr eleven thousand,
119,119,119,sgst client on inr eleven thousand nine,
120,120,120,client on inr eleven thousand nine hundred,
121,121,121,on inr eleven thousand nine hundred and,
122,122,122,inr eleven thousand nine hundred and eighty,
123,123,123,eleven thousand nine hundred and eighty six,
124,124,124,thousand nine hundred and eighty six only,
125,125,125,nine hundred and eighty six only total,
126,126,126,hundred and eighty six only total |,
127,127,127,and eighty six only total | airline,
128,128,128,eighty six only total | airline taxable,
129,129,129,six only total | airline taxable amount,
130,130,130,only total | airline taxable amount ticket,
131,131,131,total | airline taxable amount ticket no,
132,132,132,| airline taxable amount ticket no airline,
133,133,133,airline taxable amount ticket no airline cgst,
134,134,134,taxable amount ticket no airline cgst amt,
135,135,135,amount ticket no airline cgst amt airline,
136,136,136,ticket no airline cgst amt airline sgst,
137,137,137,no airline cgst amt airline sgst amt,
138,138,138,airline cgst amt airline sgst amt airline,
139,139,139,cgst amt airline sgst amt airline igst,
140,140,140,amt airline sgst amt airline igst amt,
141,141,141,airline sgst amt airline igst amt gst_no,
142,142,142,sgst amt airline igst amt gst_no pan_no,
143,143,143,amt airline igst amt gst_no pan_no for,
144,144,144,airline igst amt gst_no pan_no for gilpin,
145,145,145,igst amt gst_no pan_no for gilpin tours,
146,146,146,amt gst_no pan_no for gilpin tours travel,
147,147,147,gst_no pan_no for gilpin tours travel mgt,
148,148,148,pan_no for gilpin tours travel mgt i,
149,149,149,for gilpin tours travel mgt i pvt,
150,150,150,gilpin tours travel mgt i pvt ltd,
151,151,151,tours travel mgt i pvt ltd psgcmen,
152,152,152,travel mgt i pvt ltd psgcmen tours,
153,153,153,mgt i pvt ltd psgcmen tours india,
154,154,154,i pvt ltd psgcmen tours india private,
155,155,155,pvt ltd psgcmen tours india private lyited,
156,156,156,ltd psgcmen tours india private lyited date,
157,157,157,psgcmen tours india private lyited date utc,
158,158,158,tours india private lyited date utc reason,
159,159,159,india private lyited date utc reason locaten,
160,160,160,private lyited date utc reason locaten receivers,
161,161,161,lyited date utc reason locaten receivers signature,
162,162,162,date utc reason locaten receivers signature rakesh,
163,163,163,utc reason locaten receivers signature rakesh ierms,
164,164,164,reason locaten receivers signature rakesh ierms and,
165,165,165,locaten receivers signature rakesh ierms and conditions,
166,166,166,receivers signature rakesh ierms and conditions _e,
167,167,167,signature rakesh ierms and conditions _e qe,
168,168,168,rakesh ierms and conditions _e qe for,
169,169,169,ierms and conditions _e qe for gst,
170,170,170,and conditions _e qe for gst purpose,
171,171,171,conditions _e qe for gst purpose consider,
172,172,172,_e qe for gst purpose consider gilpin,
173,173,173,qe for gst purpose consider gilpin sac,
174,174,174,for gst purpose consider gilpin sac reservation,
175,175,175,gst purpose consider gilpin sac reservation services,
176,176,176,purpose consider gilpin sac reservation services for,
