,Unnamed: 0,Data,Target
0,0,gilpin tours travel mgt i,
1,1,tours travel mgt i pvt,
2,2,travel mgt i pvt ltd,
3,3,mgt i pvt ltd ground,
4,4,i pvt ltd ground floor,
5,5,pvt ltd ground floor windfall,
6,6,ltd ground floor windfall sahar,
7,7,ground floor windfall sahar plaza,
8,8,floor windfall sahar plaza complex,
9,9,windfall sahar plaza complex mv,
10,10,sahar plaza complex mv road,
11,11,plaza complex mv road jbnagar,
12,12,complex mv road jbnagar andheri,
13,13,mv road jbnagar andheri east,
14,14,road jbnagar andheri east mumbai,
15,15,jbnagar andheri east mumbai url,
16,16,andheri east mumbai url www,
17,17,east mumbai url www gilpinin,
18,18,mumbai url www gilpinin can,
19,19,url www gilpinin can cin,
20,20,www gilpinin can cin gst_no,
21,21,gilpinin can cin gst_no pan_no,
22,22,can cin gst_no pan_no tax,
23,23,cin gst_no pan_no tax invoice,
24,24,gst_no pan_no tax invoice original,
25,25,pan_no tax invoice original for,
26,26,tax invoice original for recipient,
27,27,invoice original for recipient to,
28,28,original for recipient to ms,
29,29,for recipient to ms indofil,
30,30,recipient to ms indofil industries,
31,31,to ms indofil industries limited,
32,32,ms indofil industries limited maharshtra,
33,33,indofil industries limited maharshtra date,
34,34,industries limited maharshtra date dec,
35,35,limited maharshtra date dec kalpataru,
36,36,maharshtra date dec kalpataru square,
37,37,date dec kalpataru square floor,
38,38,dec kalpataru square floor invoice,
39,39,kalpataru square floor invoice no,
40,40,square floor invoice no off,
41,41,floor invoice no off andheri,
42,42,invoice no off andheri kurla,
43,43,no off andheri kurla road,
44,44,off andheri kurla road andheri,
45,45,andheri kurla road andheri e,
46,46,kurla road andheri e mobile,
47,47,road andheri e mobile mumbai,
48,48,andheri e mobile mumbai narration,
49,49,e mobile mumbai narration reference,
50,50,mobile mumbai narration reference manish,
51,51,mumbai narration reference manish emp,
52,52,narration reference manish emp code,
53,53,reference manish emp code handled,
54,54,manish emp code handled by,
55,55,emp code handled by zulfikar,
56,56,code handled by zulfikar dabir,
57,57,handled by zulfikar dabir airline,
58,58,by zulfikar dabir airline indigo,
59,59,zulfikar dabir airline indigo airlines,
60,60,dabir airline indigo airlines gstin,
61,61,airline indigo airlines gstin gst_no,
62,62,indigo airlines gstin gst_no maharashtra,
63,63,airlines gstin gst_no maharashtra project,
64,64,gstin gst_no maharashtra project code,
65,65,gst_no maharashtra project code indolife,
66,66,maharashtra project code indolife shim,
67,67,project code indolife shim place,
68,68,code indolife shim place of,
69,69,indolife shim place of supply,
70,70,shim place of supply web,
71,71,place of supply web ref,
72,72,of supply web ref bomoocozjeb,
73,73,supply web ref bomoocozjeb page,
74,74,web ref bomoocozjeb page no,
75,75,ref bomoocozjeb page no of,
76,76,bomoocozjeb page no of ticket,
77,77,page no of ticket no,
78,78,no of ticket no passenger,
79,79,of ticket no passenger name,
80,80,ticket no passenger name sac,
81,81,no passenger name sac sector,
82,82,passenger name sac sector flight,
83,83,name sac sector flight details,
84,84,sac sector flight details basic,
85,85,sector flight details basic fare,
86,86,flight details basic fare taxesc,
87,87,details basic fare taxesc tot,
88,88,basic fare taxesc tot amount,
89,89,fare taxesc tot amount hrgs,
90,90,taxesc tot amount hrgs gautam,
91,91,tot amount hrgs gautam ajay,
92,92,amount hrgs gautam ajay mr,
93,93,hrgs gautam ajay mr ixcisxr,
94,94,gautam ajay mr ixcisxr l,
95,95,ajay mr ixcisxr l gautam,
96,96,mr ixcisxr l gautam ajay,
97,97,ixcisxr l gautam ajay mr,
98,98,l gautam ajay mr sxriixc,
99,99,gautam ajay mr sxriixc u,
100,100,ajay mr sxriixc u add,
101,101,mr sxriixc u add gst,
102,102,sxriixc u add gst collected,
