,Unnamed: 0,Data,Target
0,0,gilpin tours travel mgt i pvt ltd ground floor,
1,1,tours travel mgt i pvt ltd ground floor windfall,
2,2,travel mgt i pvt ltd ground floor windfall sahar,
3,3,mgt i pvt ltd ground floor windfall sahar plaza,
4,4,i pvt ltd ground floor windfall sahar plaza complex,
5,5,pvt ltd ground floor windfall sahar plaza complex mv,
6,6,ltd ground floor windfall sahar plaza complex mv road,
7,7,ground floor windfall sahar plaza complex mv road jbnagar,
8,8,floor windfall sahar plaza complex mv road jbnagar andheri,
9,9,windfall sahar plaza complex mv road jbnagar andheri east,
10,10,sahar plaza complex mv road jbnagar andheri east mumbai,
11,11,plaza complex mv road jbnagar andheri east mumbai url,
12,12,complex mv road jbnagar andheri east mumbai url www,
13,13,mv road jbnagar andheri east mumbai url www gilpinin,
14,14,road jbnagar andheri east mumbai url www gilpinin can,
15,15,jbnagar andheri east mumbai url www gilpinin can cin,
16,16,andheri east mumbai url www gilpinin can cin gst_no,
17,17,east mumbai url www gilpinin can cin gst_no pan_no,
18,18,mumbai url www gilpinin can cin gst_no pan_no tax,
19,19,url www gilpinin can cin gst_no pan_no tax invoice,
20,20,www gilpinin can cin gst_no pan_no tax invoice original,
21,21,gilpinin can cin gst_no pan_no tax invoice original for,
22,22,can cin gst_no pan_no tax invoice original for recipient,
23,23,cin gst_no pan_no tax invoice original for recipient to,
24,24,gst_no pan_no tax invoice original for recipient to ms,
25,25,pan_no tax invoice original for recipient to ms indofil,
26,26,tax invoice original for recipient to ms indofil industries,
27,27,invoice original for recipient to ms indofil industries limited,
28,28,original for recipient to ms indofil industries limited maharshtra,
29,29,for recipient to ms indofil industries limited maharshtra date,
30,30,recipient to ms indofil industries limited maharshtra date dec,
31,31,to ms indofil industries limited maharshtra date dec kalpataru,
32,32,ms indofil industries limited maharshtra date dec kalpataru square,
33,33,indofil industries limited maharshtra date dec kalpataru square floor,
34,34,industries limited maharshtra date dec kalpataru square floor invoice,
35,35,limited maharshtra date dec kalpataru square floor invoice no,
36,36,maharshtra date dec kalpataru square floor invoice no off,
37,37,date dec kalpataru square floor invoice no off andheri,
38,38,dec kalpataru square floor invoice no off andheri kurla,
39,39,kalpataru square floor invoice no off andheri kurla road,
40,40,square floor invoice no off andheri kurla road andheri,
41,41,floor invoice no off andheri kurla road andheri e,
42,42,invoice no off andheri kurla road andheri e mobile,
43,43,no off andheri kurla road andheri e mobile mumbai,
44,44,off andheri kurla road andheri e mobile mumbai narration,
45,45,andheri kurla road andheri e mobile mumbai narration reference,
46,46,kurla road andheri e mobile mumbai narration reference manish,
47,47,road andheri e mobile mumbai narration reference manish emp,
48,48,andheri e mobile mumbai narration reference manish emp code,
49,49,e mobile mumbai narration reference manish emp code handled,
50,50,mobile mumbai narration reference manish emp code handled by,
51,51,mumbai narration reference manish emp code handled by zulfikar,
52,52,narration reference manish emp code handled by zulfikar dabir,
53,53,reference manish emp code handled by zulfikar dabir airline,
54,54,manish emp code handled by zulfikar dabir airline indigo,
55,55,emp code handled by zulfikar dabir airline indigo airlines,
56,56,code handled by zulfikar dabir airline indigo airlines gstin,
57,57,handled by zulfikar dabir airline indigo airlines gstin gst_no,
58,58,by zulfikar dabir airline indigo airlines gstin gst_no maharashtra,
59,59,zulfikar dabir airline indigo airlines gstin gst_no maharashtra project,
60,60,dabir airline indigo airlines gstin gst_no maharashtra project code,
61,61,airline indigo airlines gstin gst_no maharashtra project code indolife,
62,62,indigo airlines gstin gst_no maharashtra project code indolife shim,
63,63,airlines gstin gst_no maharashtra project code indolife shim place,
64,64,gstin gst_no maharashtra project code indolife shim place of,
65,65,gst_no maharashtra project code indolife shim place of supply,
66,66,maharashtra project code indolife shim place of supply web,
67,67,project code indolife shim place of supply web ref,
68,68,code indolife shim place of supply web ref bomoocozjeb,
69,69,indolife shim place of supply web ref bomoocozjeb page,
70,70,shim place of supply web ref bomoocozjeb page no,
71,71,place of supply web ref bomoocozjeb page no of,
72,72,of supply web ref bomoocozjeb page no of ticket,
73,73,supply web ref bomoocozjeb page no of ticket no,
74,74,web ref bomoocozjeb page no of ticket no passenger,
75,75,ref bomoocozjeb page no of ticket no passenger name,
76,76,bomoocozjeb page no of ticket no passenger name sac,
77,77,page no of ticket no passenger name sac sector,
78,78,no of ticket no passenger name sac sector flight,
79,79,of ticket no passenger name sac sector flight details,
80,80,ticket no passenger name sac sector flight details basic,
81,81,no passenger name sac sector flight details basic fare,
82,82,passenger name sac sector flight details basic fare taxesc,
83,83,name sac sector flight details basic fare taxesc tot,
84,84,sac sector flight details basic fare taxesc tot amount,
85,85,sector flight details basic fare taxesc tot amount hrgs,
86,86,flight details basic fare taxesc tot amount hrgs gautam,
87,87,details basic fare taxesc tot amount hrgs gautam ajay,
88,88,basic fare taxesc tot amount hrgs gautam ajay mr,
89,89,fare taxesc tot amount hrgs gautam ajay mr ixcisxr,
90,90,taxesc tot amount hrgs gautam ajay mr ixcisxr l,
91,91,tot amount hrgs gautam ajay mr ixcisxr l gautam,
92,92,amount hrgs gautam ajay mr ixcisxr l gautam ajay,
93,93,hrgs gautam ajay mr ixcisxr l gautam ajay mr,
94,94,gautam ajay mr ixcisxr l gautam ajay mr sxriixc,
95,95,ajay mr ixcisxr l gautam ajay mr sxriixc u,
96,96,mr ixcisxr l gautam ajay mr sxriixc u add,
97,97,ixcisxr l gautam ajay mr sxriixc u add gst,
98,98,l gautam ajay mr sxriixc u add gst collected,
99,99,gautam ajay mr sxriixc u add gst collected by,
100,100,ajay mr sxriixc u add gst collected by airline,
101,101,mr sxriixc u add gst collected by airline sub,
102,102,sxriixc u add gst collected by airline sub total,
103,103,u add gst collected by airline sub total add,
104,104,add gst collected by airline sub total add processing,
105,105,gst collected by airline sub total add processing chargesd,
106,106,collected by airline sub total add processing chargesd add,
107,107,by airline sub total add processing chargesd add cgst,
108,108,airline sub total add processing chargesd add cgst client,
109,109,sub total add processing chargesd add cgst client on,
110,110,total add processing chargesd add cgst client on add,
111,111,add processing chargesd add cgst client on add sgst,
112,112,processing chargesd add cgst client on add sgst client,
113,113,chargesd add cgst client on add sgst client on,
114,114,add cgst client on add sgst client on inr,
115,115,cgst client on add sgst client on inr eleven,
116,116,client on add sgst client on inr eleven thousand,
117,117,on add sgst client on inr eleven thousand nine,
118,118,add sgst client on inr eleven thousand nine hundred,
119,119,sgst client on inr eleven thousand nine hundred and,
120,120,client on inr eleven thousand nine hundred and eighty,
121,121,on inr eleven thousand nine hundred and eighty six,
122,122,inr eleven thousand nine hundred and eighty six only,
123,123,eleven thousand nine hundred and eighty six only total,
124,124,thousand nine hundred and eighty six only total tot_amt|,
125,125,nine hundred and eighty six only total tot_amt| airline,
126,126,hundred and eighty six only total tot_amt| airline taxable,
127,127,and eighty six only total tot_amt| airline taxable amount,
128,128,eighty six only total tot_amt| airline taxable amount ticket,
129,129,six only total tot_amt| airline taxable amount ticket no,
130,130,only total tot_amt| airline taxable amount ticket no airline,
131,131,total tot_amt| airline taxable amount ticket no airline cgst,
132,132,tot_amt| airline taxable amount ticket no airline cgst amt,
133,133,airline taxable amount ticket no airline cgst amt airline,
134,134,taxable amount ticket no airline cgst amt airline sgst,
135,135,amount ticket no airline cgst amt airline sgst amt,
136,136,ticket no airline cgst amt airline sgst amt airline,
137,137,no airline cgst amt airline sgst amt airline igst,
138,138,airline cgst amt airline sgst amt airline igst amt,
139,139,cgst amt airline sgst amt airline igst amt gst_no,
140,140,amt airline sgst amt airline igst amt gst_no pan_no,
141,141,airline sgst amt airline igst amt gst_no pan_no for,
142,142,sgst amt airline igst amt gst_no pan_no for gilpin,
143,143,amt airline igst amt gst_no pan_no for gilpin tours,
144,144,airline igst amt gst_no pan_no for gilpin tours travel,
145,145,igst amt gst_no pan_no for gilpin tours travel mgt,
146,146,amt gst_no pan_no for gilpin tours travel mgt i,
147,147,gst_no pan_no for gilpin tours travel mgt i pvt,
148,148,pan_no for gilpin tours travel mgt i pvt ltd,
149,149,for gilpin tours travel mgt i pvt ltd psgcmen,
150,150,gilpin tours travel mgt i pvt ltd psgcmen tours,
